iso2,country,energy_type,quantity_mt,value_eur_bn
US,United States,LNG,14.34637064306153,7.253642551436642
RU,Russia,LNG,3.164546443,1.533576641272115
DZ,Algeria,LNG,1.744299874,0.92907222113
QA,Qatar,LNG,1.487045132574679,0.7295358132639069
NG,Nigeria,LNG,1.18173844442888,0.4162099848367724
TT,Trinidad and Tobago,LNG,0.6394620242141028,0.3214861140019202
PE,Peru,LNG,0.497992073,0.2585284917
AO,Angola,LNG,0.4822256910000001,0.24268898572
NO,Norway,LNG,0.374174925,0.1998543881628012
NO,Norway,Natural Gas (pipeline),14.08710882727,6.989991314635155
DZ,Algeria,Natural Gas (pipeline),4.341499803,1.968759000319999
GB,United Kingdom,Natural Gas (pipeline),2.83270477823,1.805718009799999
RU,Russia,Natural Gas (pipeline),2.633011374906,1.342191233157531
AZ,Azerbaijan,Natural Gas (pipeline),2.212220612,1.121773806999999
KZ,Kazakhstan,Natural Gas (pipeline),0.118670409,0.09132210819613451
RS,Serbia,Natural Gas (pipeline),0.121346583,0.06765900410419008
TR,Turkey,Natural Gas (pipeline),0.138881125,0.05452494347253528
LY,Libya,Natural Gas (pipeline),0.073758,0.03706802299999998
NO,Norway,Crude Oil,14.129337598,7.821906336353509
US,United States,Crude Oil,15.80638719229,7.787979157944157
KZ,Kazakhstan,Crude Oil,13.88367084,6.55871765967967
LY,Libya,Crude Oil,10.252003053,4.796986977326955
SA,Saudi Arabia,Crude Oil,8.182884397999999,3.675734410203422
NG,Nigeria,Crude Oil,6.990149932,3.360302453469744
IQ,Iraq,Crude Oil,6.392195448,2.763181323881767
GB,United Kingdom,Crude Oil,5.204780796075998,2.477049228385276
GY,Guyana,Crude Oil,4.523122173000001,2.168599216416844
AZ,Azerbaijan,Crude Oil,4.410949036,2.075280796620149
BR,Brazil,Crude Oil,4.309099273999999,1.872524715511906
DZ,Algeria,Crude Oil,3.775573977999999,1.839649359000587
AO,Angola,Crude Oil,1.997123672,0.8969880515501294
MX,Mexico,Crude Oil,2.061197138,0.8387638625900002
AU,Australia,Coal,4.47125783676,0.6851044375350399
US,United States,Coal,3.834933354110001,0.5795286378999756
KZ,Kazakhstan,Coal,1.774507066,0.1823457909004458
CO,Colombia,Coal,1.7230523215,0.1771711476688424
ZA,South Africa,Coal,0.9522915192299999,0.08466109540430077
CA,Canada,Coal,0.3900897820000001,0.06946839307891461
ID,Indonesia,Coal,0.228799656,0.02977826614173465
PE,Peru,Coal,0.133119092,0.01821407522644869
"KG,""Kyrgyz, Republic"",Coal,0.070295721,0.01120277178383301"
